CustomerID,Gender,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0002-ORFBO,Female,One year,Mailed check,65.6,593.3,No
0003-MKNFE,Male,Month-to-month,Mailed check,59.9,542.4,No
0004-TLHLJ,Male,Month-to-month,Electronic check,73.9,280.85,Yes
0011-IGKFF,Male,Month-to-month,Electronic check,98.0,1237.85,Yes
0013-EXCHZ,Female,Month-to-month,Mailed check,83.9,267.4,Yes
0013-MHZWF,Female,Month-to-month,Credit card (automatic),69.4,571.45,No
0013-SMEOE,Female,Two year,Bank transfer (automatic),109.7,7904.25,No
0014-BMAQU,Male,Two year,Credit card (automatic),84.65,5377.8,No
0015-UOCOJ,Female,Month-to-month,Electronic check,48.2,340.35,No
0016-QLJIS,Female,Two year,Mailed check,90.45,5957.9,No
0017-DINOC,Male,Two year,Credit card (automatic),45.2,2460.55,No
0017-IUDMW,Female,Two year,Credit card (automatic),116.8,8456.75,No
0018-NYROU,Female,Month-to-month,Electronic check,68.95,351.5,No
0019-EFAEP,Female,Two year,Bank transfer (automatic),101.3,7261.25,No
0019-GFNTW,Female,Two year,Bank transfer (automatic),45.05,2560.1,No
0020-INWCK,Female,Two year,Credit card (automatic),95.75,6849.4,No
0020-JDNXP,Female,One year,Mailed check,61.25,1993.2,No
0021-IKXGC,Female,Month-to-month,Electronic check,72.1,72.1,No
0022-TCJCI,Male,One year,Credit card (automatic),62.7,2791.5,Yes
0023-HGHWL,Male,Month-to-month,Electronic check,25.1,25.1,Yes
0023-UYUPN,Female,One year,Electronic check,25.2,1306.3,No
0023-XUOPT,Female,Month-to-month,Electronic check,94.1,1215.6,Yes
0027-KWYKW,Female,Month-to-month,Electronic check,83.75,1849.95,No
0030-FNXPP,Female,Month-to-month,Mailed check,19.85,57.2,No
0031-PVLZI,Female,Month-to-month,Mailed check,20.35,76.35,Yes
0032-PGELS,Female,Month-to-month,Bank transfer (automatic),30.5,30.5,Yes
